Timestamp,Volume_(Currency),High,Low,Weighted_Price,Open,Volume_(BTC),Close
2017-01-01 00:00:00,205299.44049187997,973.4,969.9,971.3950329105004,973.37,211.31795989999998,970.27
2017-01-01 01:00:00,176113.78111069804,972.0,968.21,970.7578000895002,970.99,181.44129444000004,970.49
2017-01-01 02:00:00,109710.21529642002,971.99,967.0,970.1641737205003,970.49,113.12638911999998,967.95
2017-01-01 03:00:00,121983.78064524596,969.47,967.57,968.4581013151666,967.83,125.98399355999999,968.14
2017-01-01 04:00:00,77101.65793756997,968.62,966.64,967.7667357358332,968.17,79.66946637999999,968.1
2017-01-01 05:00:00,154848.623636705,968.1,964.37,966.0533904115002,968.1,160.31005068000002,966.92
2017-01-01 06:00:00,68290.94190761501,969.63,964.54,967.2961043055002,966.92,70.62915220000001,969.45
2017-01-01 07:00:00,80761.13264683001,970.56,968.54,969.5861173419996,969.45,83.29696695999999,969.47
2017-01-01 08:00:00,86806.79368211,969.58,968.11,969.0014341538333,969.04,89.5936876,969.15
2017-01-01 09:00:00,56738.78480817802,970.68,968.6,969.7819919674998,969.16,58.501088030000005,970.38
2017-01-01 10:00:00,97844.24731478997,974.99,969.79,972.8675311761662,970.36,100.58205551,974.99
2017-01-01 11:00:00,55557.70773098999,975.0,974.98,974.9886131756664,974.98,56.98291492000003,975.0
2017-01-01 12:00:00,50953.952239769984,975.0,974.01,974.8648557156664,975.0,52.26738561999999,974.56
2017-01-01 13:00:00,153404.6830939,977.99,974.31,976.6351205871659,974.37,156.97918493,977.99
2017-01-01 14:00:00,99058.61958463,979.99,977.58,978.8548458789999,977.99,101.1940963,979.99
2017-01-01 15:00:00,108501.99703986697,979.99,979.01,979.9129210144998,979.99,110.72699403999998,979.99
2017-01-01 16:00:00,537096.531723413,994.97,977.63,984.5218292723333,979.98,545.2171239100002,994.79
2017-01-01 17:00:00,364470.7858905199,994.8,993.0,994.4079365971664,994.8,366.5944277599999,994.42
2017-01-01 18:00:00,346404.86055622005,999.68,994.49,996.414945935,994.49,347.5673239200001,997.12
2017-01-01 19:00:00,270432.62476128,997.11,993.7,995.5007420146666,997.11,271.65721333000005,994.92
2017-01-01 20:00:00,305973.95248290984,1000.0,993.76,998.6305396524999,994.61,306.40469480999997,1000.0
2017-01-01 21:00:00,435234.0075733,1000.0,992.04,999.1757092381665,1000.0,435.7548436900001,997.22
2017-01-01 22:00:00,293567.06065372995,998.0,990.0,995.7005966846663,997.22,295.21865217999994,998.0
2017-01-01 23:00:00,210535.44655729993,998.99,986.86,995.3864457171661,998.0,211.45395493999996,992.95
2017-01-02 00:00:00,249754.06779108,997.99,992.86,996.1202277425,992.96,250.63936818000002,995.48
